driver_code,meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,clean
NOR,1290,11334,1,33,2026-07-19T14:07:09.400000+00:00,31.298,48.783,29.351,308.0,210,False,109.432,"[None, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2049, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",303.0,True
NOR,1290,11334,1,34,2026-07-19T14:08:58.850000+00:00,31.245,48.593,29.479,312.0,209,False,109.317,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2049, 2048, 2049, 2048, 2049, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",304.0,True
NOR,1290,11334,1,35,2026-07-19T14:10:48.171000+00:00,31.074,48.8,29.229,311.0,209,False,109.103,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048]",,True
NOR,1290,11334,1,36,2026-07-19T14:12:37.252000+00:00,31.406,48.699,29.249,306.0,207,False,109.354,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2051, 2048, 2048, 2048, 2051, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]",302.0,True
NOR,1290,11334,1,37,2026-07-19T14:14:26.659000+00:00,31.315,48.755,29.071,307.0,210,False,109.141,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]",,True
NOR,1290,11334,1,38,2026-07-19T14:16:15.770000+00:00,31.341,48.745,29.014,,208,False,109.1,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",,True
NOR,1290,11334,1,39,2026-07-19T14:18:04.966000+00:00,31.281,48.783,29.058,,210,False,109.122,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",304.0,True
NOR,1290,11334,1,40,2026-07-19T14:19:53.934000+00:00,31.289,48.757,29.038,308.0,207,False,109.084,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",305.0,True
NOR,1290,11334,1,41,2026-07-19T14:21:43.046000+00:00,31.085,48.786,29.056,311.0,204,False,108.927,"[None, 2048, 2049, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]",309.0,True
NOR,1290,11334,1,42,2026-07-19T14:23:31.998000+00:00,30.934,49.096,28.874,312.0,204,False,108.904,"[None, 2048, 2049, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]",310.0,True
